,금융회사,상품명,적립방식,세전이자율,최고우대금리,가입대상,이자계산방식,우대조건,가입방법,만기후이자율,기타유의사항,개월수,상품종류
0,경남은행,터치적금,자유적립식,2.50%,8.00%,실명의 개인 및 개인사업자,단리,①첫거래고객(적금가입 전일기준 당행 활동계좌 미보유) 2.50% ②기간내 적금 입금일마다 0.10%씩 우대(최대2.50%) ③마케팅동의 및 모바일메세지 수신동의 만기유지 시 0.50%,스마트폰,만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1. 계약기간은 1개월로 한다.2. 초입금 일 1천원 이상 3만원 이하 자유롭게 저축3. 최대 저축횟수는 999회 이내,1,적금
1,주식회사 카카오뱅크,카카오뱅크 한달적금,자유적립식,1.50%,7.00%,만 17세 이상의 실명의 개인,단리,매일/보너스 우대금리 제공 : 최고 연 5.50%p - 제공조건 ① 매일 우대금리 : 매 입금 시 마다 연 0.10%p 제공(최대 연 3.10%p) ② 보너스 우대금리 : 누적하여 5/10/15/20/25/31회 입금 시 해당 우대금리 제공(최대 연 2.40%p) - 유의사항 : 만기 해지하는 경우에만 제공,스마트폰,- 만기 후 1개월 이내 : 가입시점 기본금리x50%- 만기 후 1개월초과 3개월 이내 : 가입시점 기본금리x30%- 만기 후 3개월 초과 : 0.20%,"1. 가입방법 : 스마트폰2. 납입금액 : 1회 100원 이상 3만원 이하(원단위)3. 가입기간 : 31일4. 직접 납입을 통해서 1일 1회만 입금 가능하며, 그 외의 입금은 모두 제한됨",1,적금
2,국민은행,KB 특★한 적금,자유적립식,2.00%,6.00%,실명의 개인,단리,"항목별 적용 조건 충족시, 최고 연 4.0%p ① 목표달성 축하 우대이율: 최고 연 1.0%p 50만원 이하: 연 0.5%p, 50만원 초과: 연 1.0%p ② 별 모으기 우대이율 : 최고 연 1.0%p 10개: 연 0.5%p, 20개: 연 1.0%p ③ 함께해요 우대이율: 최고 연 2.0%p",스마트폰,- 1개월 이내 : 기본이율 X 50%- 1개월 초과 ~ 3개월 이내 : 기본이율 X 30%- 3개월 초과 : 0.1%,"개인사업자, 임의단체 및공동명의 가입 불가(1인 최대 3계좌)",1,적금
3,경남은행,오늘도세이브적금,자유적립식,3.45%,5.20%,실명의 개인 및 개인사업자,단리,①마케팅동의 0.15% ②목돈마련 축하이율 0.30~1.00% ③친구 추천번호 0.30~0.60%,"인터넷,스마트폰,기타",만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1. 계약기간은 1개월 이상 6개월 이내 월단위로 한다.2. 초입금 일 1천원 이상 10만원 이하 자유롭게 저축3. 최대 저축횟수는 999회 이내,1,적금
4,경남은행,BNK 위더스(With-us)자유적금,자유적립식,2.50%,5.00%,개인 및 개인사업자,단리,"①ESG 실천 우대금리 0.50% ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50% ④창립 54주년 이벤트금리(~6.7), 선착순2,000명 한정: 0.50% (가입기간 12개월만 해당)","영업점,인터넷,스마트폰,기타",만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,"1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.2..1인 1계좌로 가입가능2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",1,적금
5,신한은행,한 달부터 적금 (매주입금),자유적립식,2.50%,4.50%,제한없음,단리,※가산금리 최고 연 2.0% - 주 납입: 총 납입 회차의 90%이상 납입 달성,"영업점,스마트폰","-1개월 이하:(일반) 정기적금 기본금리 1/2(단, 최저금리 0.10%)-1개월 초과~6개월 이하: (일반) 정기적금 기본금리의 1/4(단, 최저금리 0.10%)-6개월 초과 0.10%",1.가입한도:- 매주입금: 주 10만원이내,1,적금
6,농협은행주식회사,NH올원e 미니적금,자유적립식,2.70%,4.40%,개인,단리,"1. 자동이체 입금횟수 우대금리 : 최고 0.5%p - 5회이상 : 0.2%p, 10회이상 : 0.3%p, 15회이상 0.5%p 2. 목표금액 달성 축하금리 : 0.5%p 3. MZ세대(만 19~34세)) 우대금리 : 0.5%p 4. 직전 1년간 당행 예적금(청약포함) 미보유 고객 : 0.2%p",스마트폰,만기후 1년 이내 : 만기시점 계약기간별 자유로우대적금 기본금리의 1/2만기후 1년 초과 : 보통예금 금리,가입기간 1개월 이상 6개월 이하(일 단위)초입금 및 매일 1천원이상 5만원이내(천원 단위),1,적금
7,중소기업은행,IBK D-day적금(자유적립식),자유적립식,2.90%,4.40%,실명의 개인(개인사업자 제외),단리,최고 연 1.5%p 1. 목표달성 축하금리 : 연 1.0%p - 당행 입출금식 계좌에서 이 적금으로 자동이체를 통해 3회 이상 납입하고 만기일 전일까지 목표금액(신규 시 직접 설정) 이상 납입하는 경우 2. 최초거래고객 우대금리 : 연 0.5%p,스마트폰,만기일 당시 정기적금 만기후금리 적용- 1개월 이내: 만기일 당시 약정금리x50%- 1월 초과 6개월 이내: 만기일 당시 약정금리x30%- 6개월 초과: 만기일 당시 약정금리x20%,"1인당 3계좌 가입 가능하며, 계좌당 20만원 이내 납입 가능",1,적금
8,주식회사 케이뱅크,코드K 자유적금,자유적립식,3.30%,3.30%,만 17세 이상 실명의 개인 및 개인사업자,단리,금리우대 코드를 입력하는 경우 우대금리 적용,스마트폰,만기 후 - 1개월 이내: 만기시점 기본금리 X 50% - 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30%- 6개월 초과: 연 0.20%,"가입금액: 1만원 이상 30만원 이하가입기간: 6개월, 1년, 2년, 3년 (1인 최대 3계좌)",1,적금
9,한국산업은행,KDB 자유적금,자유적립식,2.87%,2.87%,"개인, 개인사업자, 임의단체",단리,해당없음,"영업점,인터넷,스마트폰",* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율,해당없음,1,적금
10,에스앤티저축은행,정기적금,정액적립식,2.50%,2.50%,제한없음,단리,없음,영업점,-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 이후 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",1,적금
11,에스앤티저축은행,정기적금(비대면),정액적립식,2.50%,2.50%,제한없음,단리,없음,"인터넷,스마트폰",-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 이후 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",1,적금
12,금화저축은행,정기적금,자유적립식,2.10%,2.10%,인터넷 및 모바일뱅킹 사용자,단리,-,"인터넷,스마트폰",① 만기 후 1개월 이내 : 약정금리② 만기 후 1개월 초과 : 보통예금 이율 (0.2%),중도해지 이율 - ① 1개월 미만 : 보통예금이율 (0.2%)② 1개월이상~6개월미만 : 약정이율X50%③ 6개월이상~12개월미만 : 약정이율X55%④ 12개월이상~24개월미만 : 약정이율X60%⑤ 24개월이상~60개월미만 : 약정이율X70%,1,적금
13,금화저축은행,정기적금,자유적립식,2.00%,2.00%,제한없음,단리,창구전용상품,영업점,① 만기 후 1개월 이내 : 약정금리② 만기 후 1개월 초과 : 보통예금 이율 (0.2%),중도해지 이율 - ① 1개월 미만 : 보통예금이율 (0.2%)② 1개월이상~6개월미만 : 약정이율X50%③ 6개월이상~12개월미만 : 약정이율X55%④ 12개월이상~24개월미만 : 약정이율X60%⑤ 24개월이상~60개월미만 : 약정이율X70%,1,적금
14,오투저축은행,정기적금,자유적립식,2.00%,2.00%,제한없음,복리,-,영업점,1. 2019년 7월 1일 이전 신규-보통예금 이율2. 2019년 7월 1일 신규분 부터-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율,중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,1,적금
15,오투저축은행,정기적금,자유적립식,2.00%,2.00%,제한없음,단리,-,영업점,1. 2019년 7월 1일 이전 신규-보통예금 이율2. 2019년 7월 1일 신규분 부터-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율,중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,1,적금
16,인성저축은행,정기적금,정액적립식,1.80%,1.80%,-제한없음,단리,없음,영업점,-보통예금이율 0.1%,-없음,1,적금
17,인성저축은행,e-정기적금,정액적립식,1.80%,1.80%,-만19세이상의 개인,단리,없음,"인터넷,스마트폰",-보통예금이율 0.1%,-통장을 발급하지 않는 온라인 전용상품으로 영업점 해지시 우대금리 적용불가,1,적금
18,영진저축은행,자유적립예금,자유적립식,1.10%,1.10%,내·외국인 대상,복리,"계약기간이 1년이상인 정기예금, 정기적금, 신용부금 만기수령액 이하를 1년 이상으로 재예치시",영업점,만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율)만기후 1개월이후 해지시 보통예금금리(0.5%)적용,"1천원이상 가입가능, 최소가입기간 3개월이상",1,적금
