은행,상품명,적립방식,금리,최고우대금리,이자계산방식,우대조건,가입대상,가입방법,만기후금리,유의사항,저축기간
경남은행,터치적금,자유적립식,2.5,8.0,단리,①첫거래고객(적금가입 전일기준 당행 활동계좌 미보유) 2.50% ②기간내 적금 입금일마다 0.10%씩 우대(최대2.50%) ③마케팅동의 및 모바일메세지 수신동의 만기유지 시 0.50%,실명의 개인 및 개인사업자,스마트폰,만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1. 계약기간은 1개월로 한다.2. 초입금 일 1천원 이상 3만원 이하 자유롭게 저축3. 최대 저축횟수는 999회 이내,1
주식회사 카카오뱅크,카카오뱅크 한달적금,자유적립식,1.5,7.0,단리,매일/보너스 우대금리 제공 : 최고 연 5.50%p - 제공조건 ① 매일 우대금리 : 매 입금 시 마다 연 0.10%p 제공(최대 연 3.10%p) ② 보너스 우대금리 : 누적하여 5/10/15/20/25/31회 입금 시 해당 우대금리 제공(최대 연 2.40%p) - 유의사항 : 만기 해지하는 경우에만 제공,만 17세 이상의 실명의 개인,스마트폰,- 만기 후 1개월 이내 : 가입시점 기본금리x50%- 만기 후 1개월초과 3개월 이내 : 가입시점 기본금리x30%- 만기 후 3개월 초과 : 0.20%,1. 가입방법 : 스마트폰2. 납입금액 : 1회 100원 이상 3만원 이하(원단위)3. 가입기간 : 31일4. 직접 납입을 통해서 1일 1회만 입금 가능하며/ 그 외의 입금은 모두 제한됨,1
국민은행,KB 특★한 적금,자유적립식,2.0,6.0,단리,항목별 적용 조건 충족시/ 최고 연 4.0%p ① 목표달성 축하 우대이율: 최고 연 1.0%p 50만원 이하: 연 0.5%p/ 50만원 초과: 연 1.0%p ② 별 모으기 우대이율 : 최고 연 1.0%p 10개: 연 0.5%p/ 20개: 연 1.0%p ③ 함께해요 우대이율: 최고 연 2.0%p,실명의 개인,스마트폰,- 1개월 이내 : 기본이율 X 50%- 1개월 초과 ~ 3개월 이내 : 기본이율 X 30%- 3개월 초과 : 0.1%,개인사업자/ 임의단체 및공동명의 가입 불가(1인 최대 3계좌),1
경남은행,오늘도세이브적금,자유적립식,3.45,5.2,단리,①마케팅동의 0.15% ②목돈마련 축하이율 0.30~1.00% ③친구 추천번호 0.30~0.60%,실명의 개인 및 개인사업자,인터넷/스마트폰/기타,만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1. 계약기간은 1개월 이상 6개월 이내 월단위로 한다.2. 초입금 일 1천원 이상 10만원 이하 자유롭게 저축3. 최대 저축횟수는 999회 이내,1
경남은행,BNK 위더스(With-us)자유적금,자유적립식,2.5,5.0,단리,①ESG 실천 우대금리 0.50% ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50% ④창립 54주년 이벤트금리(~6.7)/ 선착순2/000명 한정: 0.50% (가입기간 12개월만 해당),개인 및 개인사업자,영업점/인터넷/스마트폰/기타,만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.2..1인 1계좌로 가입가능2.매월 최소 1만원 이상/ 최고 월 100만원 이하 (천원 단위),1
신한은행,한 달부터 적금 (매주입금),자유적립식,2.5,4.5,단리,※가산금리 최고 연 2.0% - 주 납입: 총 납입 회차의 90%이상 납입 달성,제한없음,영업점/스마트폰,-1개월 이하:(일반) 정기적금 기본금리 1/2(단/ 최저금리 0.10%)-1개월 초과~6개월 이하: (일반) 정기적금 기본금리의 1/4(단/ 최저금리 0.10%)-6개월 초과 0.10%,1.가입한도:- 매주입금: 주 10만원이내,1
농협은행주식회사,NH올원e 미니적금,자유적립식,2.7,4.4,단리,1. 자동이체 입금횟수 우대금리 : 최고 0.5%p - 5회이상 : 0.2%p/ 10회이상 : 0.3%p/ 15회이상 0.5%p 2. 목표금액 달성 축하금리 : 0.5%p 3. MZ세대(만 19~34세)) 우대금리 : 0.5%p 4. 직전 1년간 당행 예적금(청약포함) 미보유 고객 : 0.2%p,개인,스마트폰,만기후 1년 이내 : 만기시점 계약기간별 자유로우대적금 기본금리의 1/2만기후 1년 초과 : 보통예금 금리,가입기간 1개월 이상 6개월 이하(일 단위)초입금 및 매일 1천원이상 5만원이내(천원 단위),1
중소기업은행,IBK D-day적금(자유적립식),자유적립식,2.9,4.4,단리,최고 연 1.5%p 1. 목표달성 축하금리 : 연 1.0%p - 당행 입출금식 계좌에서 이 적금으로 자동이체를 통해 3회 이상 납입하고 만기일 전일까지 목표금액(신규 시 직접 설정) 이상 납입하는 경우 2. 최초거래고객 우대금리 : 연 0.5%p,실명의 개인(개인사업자 제외),스마트폰,만기일 당시 정기적금 만기후금리 적용- 1개월 이내: 만기일 당시 약정금리x50%- 1월 초과 6개월 이내: 만기일 당시 약정금리x30%- 6개월 초과: 만기일 당시 약정금리x20%,1인당 3계좌 가입 가능하며/ 계좌당 20만원 이내 납입 가능,1
주식회사 케이뱅크,코드K 자유적금,자유적립식,3.3,3.3,단리,금리우대 코드를 입력하는 경우 우대금리 적용,만 17세 이상 실명의 개인 및 개인사업자,스마트폰,만기 후 - 1개월 이내: 만기시점 기본금리 X 50% - 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30%- 6개월 초과: 연 0.20%,가입금액: 1만원 이상 30만원 이하가입기간: 6개월/ 1년/ 2년/ 3년 (1인 최대 3계좌),1
한국산업은행,KDB 자유적금,자유적립식,2.87,2.87,단리,해당없음,개인/ 개인사업자/ 임의단체,영업점/인터넷/스마트폰,* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율,해당없음,1
